event_id,user_id,session_id,order_id,time,total_price,shipping_price,discount,discount_coupon_code,total_items,total_qty
3f8706da-320c-4844-b170-1b0ccbc3cab4,a71251a4-f215-4046-85fb-51206780e6c8,f829d83e-fae0-4ce2-bd2a-9b9b2b5567a8,b9590f07-1ad6-4544-b944-8bd72905d665,2025-01-01 02:15:38,749.97,0,20,HOLIDAY10,2,3
96eadf3b-c863-470e-aa16-d804fef45bac,2d268310-e659-49d4-82b1-b18f344587d1,349f6c93-1153-49d9-836e-4cbb3e5254f0,b96344a0-f907-4694-91f6-e995d32ee217,2025-01-01 02:26:58,559.97,0,0,,3,3
1ae39a7d-ce79-4dc0-9432-a04be3ae6aca,764755b5-74f5-4918-8490-c0514d18a125,ad5dbca8-25da-446d-9b82-de88a5f298df,5d95006a-c41a-4988-b9e3-c9f08a53e566,2025-01-01 12:45:52,759.95,0,0,HOLIDAY10,3,5
9e5a02a3-b8ee-4a98-8cfa-b351a4a319ae,19755aa9-50fc-44f2-80c0-e2eb4ecb4160,bf3c25fd-a623-4c83-b17c-17c2a46ddda1,7b3a89b0-d7cd-49a9-9fb1-b9f915fe950a,2025-01-01 09:38:39,219.97,0,10,,2,3
0ee31098-663d-46f2-b080-ee9b84586214,b35cbd71-9392-4c81-b87d-cfc960455826,a8fa76a4-cff1-46b0-a21c-12633f7ee9f6,01baff8f-1972-4dbe-ae5d-e1b338c258db,2025-01-01 06:38:21,469.96,0,20,HOLIDAY10,3,4
ec94eadf-27ad-4fa1-8297-0058e9268625,07346d15-dc75-4df7-8e16-6ec92be768a7,ac0aac8c-a2ec-45e8-a8c2-e9fd9e2cf2a2,9b9ffb95-8e2d-4412-b24f-8940c8f14634,2025-01-01 14:21:21,849.96,0,10,RING20,3,4
fa630a06-a034-45e5-91fe-982530cbd7d8,ebe397bb-8fda-4d9c-93e4-24ec1ae747f2,c02ee4c3-7941-4ee2-8cde-659dc654d248,66e07554-c8fa-465c-97a4-fc9e0c717ce3,2025-01-01 15:22:44,99.99,0,0,HOLIDAY10,1,1
c806025a-bdb5-4f33-b22a-06c623426490,4c1e02ee-cd7f-4641-856a-fb02bbbb57a4,2401d18f-819d-4be5-94be-b58557a89cba,3980fdbe-5264-437b-baf1-5f073cca9ba9,2025-01-01 17:05:52,119.98,0,0,RING20,1,2
72b57486-23cc-42d9-91d4-50702ffea3c6,b1953dfa-7bee-4d05-be79-ab124c1fb370,57f917e9-a0b7-402c-bb4c-bb805e29ec90,13367dc1-7fdb-4d55-876d-1a9c9f8353cf,2025-01-01 22:57:19,499.98,0,10,,1,2
0e54062e-ed7d-4267-9548-a418d5ab9c20,8dc25809-34e3-4034-a7c4-22797dd732cf,09cbb374-1ac0-4979-8a8e-befaa79989b9,d44dbc2b-5db5-4103-88de-39d3a916473d,2025-01-01 22:17:36,219.97,0,20,HOLIDAY10,2,3
c228e231-e01e-46b9-a99e-717ba662e1ad,442903e4-2416-4aba-a15c-2febd0863fda,d5951c38-cfd9-48b9-afeb-07e555560376,936a24d0-ed4f-4b77-8b35-a54951869838,2025-01-01 04:55:37,749.97,0,10,RING20,2,3
16bfccef-fe14-42cb-b07d-7b2fa5c75b59,442903e4-2416-4aba-a15c-2febd0863fda,310d19a5-265b-4057-abea-41d7859501d1,390c91f1-afca-4bfa-b362-fbe3006e407a,2025-01-01 15:20:17,619.96,0,20,RING20,2,4
4a32e502-c56a-4f0b-8bd3-85822523e8bf,48ddf6da-6b0b-41e3-9955-7a2076bfc532,7fe3e4ad-d56d-4524-af77-dc35e6f89fe6,4301d1b3-6361-4cd0-9c55-e1a24795da17,2025-01-01 19:16:31,219.97,0,0,RING20,2,3
9f97de08-9ba7-4840-9458-9598440f7837,54706e6f-638a-414c-a6da-9d8177160d1d,44d77c08-3f7b-461c-a886-4ae5bda6b632,644aae94-6ab9-4188-8759-20c70d328c38,2025-01-01 07:57:14,1199.94,0,20,RING20,3,6
58a3ed3a-809f-43df-a8c7-3b5e5f25743c,0f302175-0ee4-4dd3-8b6c-e0372d58e6d9,0312bf1d-1ef0-40e3-b14a-f5e71e8da321,c9cc7241-a035-4897-aec1-f9d08c476f3e,2025-01-01 18:47:35,819.94,0,10,RING20,3,6
80f29f2b-8eae-446d-a1c8-73f270b0e9de,41bffb6a-a9fd-45cb-9a38-7d6090cb7e96,8d19ff34-77af-4afb-be2e-9cc76787c220,d017182e-1ea7-4a15-a223-8adf1c9beed3,2025-01-01 12:25:57,59.99,0,10,,1,1
3f831736-549d-4713-9687-9d2166478786,84f8672b-3ccc-4c73-b60d-332b97a9f6e9,f469584e-58d9-4c81-95c7-c82547e811ea,14989f38-adb5-4607-8e90-3e25506d8d56,2025-01-01 13:01:49,749.97,0,0,RING20,2,3
1a5a1513-50fd-4397-98d7-0f9dbc35eac3,09254b4a-e83c-4d35-bea1-61b8be71531d,626a909a-0be6-4d87-aca3-f4ebcf82c767,bf5beeec-8575-455e-b7b5-40c9dde77a9d,2025-01-01 15:20:34,719.95,0,0,HOLIDAY10,3,5
83673e7c-6903-401b-a77d-4f47b82f05a9,35fc4fab-54a3-4896-8521-d7b2bf1b36cc,18f98544-bb21-44bb-a18f-68e84f82bc39,71d525ab-e576-4a21-9fd3-b0509e331a68,2025-01-01 01:44:38,99.99,0,0,RING20,1,1
8c8e16d0-da1e-40a4-97cd-2a5129292b7c,c1dd4114-c104-4caf-8cff-803ca38299e5,9d09e9b7-7f89-4c25-aea8-206a4b508580,3d529b67-9120-40d7-9772-0e328aa545f2,2025-01-01 04:58:16,499.98,0,0,RING20,1,2
8c168f12-0915-4723-bb40-f37a2a74a9a8,b78ff101-1cdd-4fe2-93aa-3e7d4fc156f8,340c8c4c-c0a4-43ed-91c7-e6223b1662e2,0c7d03f1-170b-43e4-9da7-ec31ae725237,2025-01-01 19:51:32,569.95,0,20,,3,5
51601ff7-baf8-4b30-a1d4-4d84077c68dc,229d2679-b075-40aa-ae68-8da32e96b02d,5cf78629-b2be-4223-9383-13ff938ce295,f6239c15-a8ed-4ff7-9f65-76178029ef0d,2025-01-01 10:42:46,719.95,0,10,RING20,3,5
0e9f09ad-42bd-4429-9b4f-efcb0555af13,a6394532-9a97-4db7-beac-ffc43efe5945,6b6ad312-cfd3-4a96-88bd-debb2bf4bb11,733cb9d2-06f8-4cbc-a3f3-70527e0e6421,2025-01-01 11:26:28,499.98,0,20,HOLIDAY10,1,2
4bcdb510-50e2-4596-bdd4-393cced18373,2b347211-a98b-4e59-9d81-230737827bd8,fafdf3bb-46e3-4718-afd5-640ae744f54e,ddaa725c-83e1-4e2d-9c9e-3b4a26452d20,2025-01-01 00:46:40,369.97,0,0,,2,3
a9675457-d1d0-4c10-b024-d7879e0fa27a,3883e7d6-fa33-4e06-a0ef-ce2014e9a83a,89217248-4ef5-427f-b441-7e67b37863c5,7406b632-b1de-464c-9053-b12e7c7f8105,2025-01-01 07:25:52,569.95,0,0,,3,5
b0621813-3d1f-4366-8cf2-59e8b51f0ce8,d3889493-1537-4ae8-bc0b-c176555c2720,fc1cebfd-a56d-47ff-88e7-ae8459b8793c,85bed2da-6479-4ee6-b804-e1c93f31a16c,2025-01-01 08:46:18,1059.95,0,10,HOLIDAY10,3,5
fc75658c-974f-4802-a2fd-0f4f62421a56,4fab2603-de95-42bc-ac12-b7eb33f147ef,3b260464-f555-42c2-9beb-40eee95c094d,d8650ae5-f2f1-4f40-bec3-c35182140535,2025-01-01 16:24:25,249.99,0,0,HOLIDAY10,1,1
0539ecb1-6ced-4a5b-b8b3-30eea27cb773,02b8a0fd-3ccc-46cb-835a-55181646dbc4,23d1801f-999b-4ae0-b2a5-90d33d5c7697,b66c2f02-9145-404a-93ab-2ce43bbe06bb,2025-01-01 12:48:19,249.99,0,10,HOLIDAY10,1,1
7fde1896-6ac7-4099-b920-a9c3eb2afbae,c97e58ec-e318-4dbc-8e84-16055fc373f2,9e04b30c-396d-4f90-ba6a-b0f8413d6fe3,c47ef793-298e-4a10-ab7d-4258a5cb4e1c,2025-01-02 04:46:41,1059.95,0,20,,3,5
bc26a284-4232-497c-8626-8c20f50b72e3,67b05727-7237-4028-a8a6-4b2cef09eb49,5bd61228-69d7-4096-9fe5-c8e54fa48a71,65ac6d6d-e7b4-474c-9472-a55490fbc0b6,2025-01-02 14:04:29,99.99,0,10,HOLIDAY10,1,1
b4e6b6ea-5cef-4ee4-88ee-f0cafecdb95d,38234e65-dc6b-4e0f-8a2c-21f5b4cfeeca,94fa6b22-27ee-42e7-b0f1-83c19f811434,4647b1a2-40aa-4a9a-81c4-a33d77a10829,2025-01-02 19:59:30,1119.94,0,10,RING20,3,6
d4d59340-2e78-44eb-b1f6-2fe0e35a1ac5,444dece8-8285-457f-91b6-96c66990a2d3,7e1fddfa-3b64-4f3f-8b4c-7f693bcd20ab,b9e917dd-5e00-4cfd-88c9-ad3c1d2acab4,2025-01-02 10:54:58,1099.95,0,10,,3,5
08fdd73d-0525-4879-b55d-3ae4015d10c7,5c2d85da-27a6-4a0c-8681-b829b771fa79,81a2f302-d878-4705-b667-871a19650748,795cd058-2016-45ec-89e3-b4dad0fe64a5,2025-01-02 13:33:05,499.98,0,0,,1,2
acc04218-d474-4168-8558-853f9cdb11da,4c02f3fa-fb86-413f-b805-f6d6b2f6fea5,86cb0baa-4198-4c42-ba98-7ea9b4018895,cf060c6a-dc92-435d-a526-f4e58cdc2f04,2025-01-02 03:17:04,199.98,0,0,,1,2
dbad5b65-a001-41d9-818d-d7790b7d5627,14f6c404-6145-4b6a-8dfc-1cdb8b8eae93,06c32bd2-30eb-40fa-9b2f-d90b1e2e2016,6555436b-7993-48df-b29f-4d246c6b4819,2025-01-02 23:32:57,99.99,0,10,RING20,1,1
1b204d99-04e5-41f3-bda4-9651dd83783f,8af10984-6422-4486-b30f-675d054b7bb3,39aa6ac5-8ba4-4cb1-a080-36d849d42ac8,b80f7466-25ab-4a70-b0aa-5b86109a5d7f,2025-01-02 19:38:11,849.96,0,10,HOLIDAY10,3,4
672cfa00-304c-4973-ad1f-6e08e628dfe8,f883964b-9c2b-4830-8ede-36e106e82ea9,5776d3a9-9528-4721-aef7-ff4f2334ce06,cee57058-49a9-493e-9c07-2c8746a4509c,2025-01-02 23:13:34,499.98,0,10,HOLIDAY10,2,2
f37bf7ea-1e3e-4441-a85f-9a7ef0006001,0a064b41-b08c-4ed4-af21-5f3ef41ea234,df5740e0-2eaa-44a2-abf0-cdd448f65594,0833bdcb-03ef-48f1-a9fd-56857bf59157,2025-01-02 13:05:19,809.96,0,20,,3,4
8e3e7acf-652a-47d7-a642-f71dfa96cdcd,221e6a7f-2d9b-48de-b425-c3a584f99c90,7ca33105-9eb8-48c0-bd79-f283a4449c4c,3da7e890-6b20-46d1-b7ad-2878dbacea72,2025-01-02 14:39:53,599.97,0,10,HOLIDAY10,2,3
0374837e-d250-4ef6-afc2-ea6c180de0d4,24bd7ead-6f64-4761-ac8c-8fc1a0cbe1aa,128e2181-4a7f-41e0-808b-36996f08908d,b2d197dc-a8e6-4302-8638-92a21aea35bc,2025-01-02 03:18:30,809.96,0,20,HOLIDAY10,3,4
d8a995d5-0d49-4cb8-b02b-8f7c93aad847,f701a41f-8f2e-4b7b-ae43-e83b57cbb675,1fa8644e-fd2a-4013-ab33-81727781cbd3,62cfecd8-6b5a-4fa6-b373-eca4759f5211,2025-01-02 17:20:59,559.97,0,20,RING20,2,3
37685787-92fe-4e90-a917-d889cda89589,031be23a-7ceb-4a58-bcac-96874bc8f90b,bcd92df8-e0f5-4fb2-b749-8c327ca04a3d,29ae5ebe-cb31-4ecb-bda5-1645e19ee1e4,2025-01-02 23:23:02,249.99,0,20,,1,1
a6bc3e3e-6b86-4441-9e20-c9a18a161f9c,16cfb3f6-f362-4813-bff6-90c5aa5603ea,306a9e97-b42d-4aaa-a657-f58672408f2c,3fb974db-422a-4662-af80-fdc52059e261,2025-01-02 09:17:08,749.97,0,10,RING20,2,3
6c80b2e7-6c05-4d7d-ae64-76cda784bbef,714dd5cd-3d82-42f4-be02-a41135e64d83,a7d22cad-44e0-4111-bb00-da97e95d050b,52baabbf-518a-4067-ac17-11d5a501716a,2025-01-02 12:36:06,249.99,0,0,,1,1
af646388-6803-4b62-bf7f-c26a628d72b6,6880bef9-8a7c-4b20-b090-0f23e423c4cd,7d0a8b25-cdec-4ae8-b1d6-01639c115476,776dd82b-be66-4cc0-858d-db4209a196a1,2025-01-02 20:11:51,349.98,0,10,,2,2
e56f0e92-3b26-48ef-b313-738b2bcb333d,0711ea75-fae7-4894-9328-4c388354b668,85901de8-dba4-42fe-846c-ec1d9d50eeb4,14724ea5-418f-44d8-803b-7f853dcb48b4,2025-01-02 19:38:06,599.97,0,20,HOLIDAY10,2,3
6c1e92b7-c143-49c5-a18a-4b6bd1bbe5be,dd2acd80-a48e-4feb-9ccf-93ae86ea876b,fdc5001a-3c3b-4e7f-8784-4dd819282740,4f48edeb-76ad-4c87-b233-f96e05ce2add,2025-01-02 04:25:53,819.94,0,0,RING20,3,6
8bf94c53-f106-48a0-a608-28876a47cbfb,e91d5648-5c10-4d10-b253-a4b4d2e1f8f9,ba64cb5f-9eb6-470f-8cb4-6f2391e550a1,b550b6df-fb29-47cb-b51d-c727791261e9,2025-01-02 14:28:23,819.94,0,10,,3,6
357ce3b7-d70a-4efc-a95b-759b8db2c131,539566f8-ea59-448f-a36a-07b921f68b07,2f0d923e-2432-4579-968d-e5102bba501c,c7433c0b-476f-4842-96ae-24e6872d25a0,2025-01-02 23:28:08,369.97,0,10,HOLIDAY10,2,3
